task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
37	05/d48fa7	2170878	annotate (20)	COMPLETED	0	2024-08-26 16:30:48.761	1m 46s	1m 42s	596.7%	933 MB	12.5 GB	41.2 GB	74.9 MB
48	ed/d4c41d	2180714	dwgsim (21)	COMPLETED	0	2024-08-26 16:32:35.113	9.4s	2.1s	95.8%	8.5 MB	279.7 MB	4.1 MB	135.8 MB
36	34/2c07d7	2181005	annotate (19)	COMPLETED	0	2024-08-26 16:32:44.519	1m 46s	1m 42s	602.2%	845.5 MB	2.1 GB	42 GB	76.3 MB
34	ca/6d6e15	2190604	dwgsim (17)	COMPLETED	0	2024-08-26 16:34:30.604	9.5s	2.2s	95.1%	8.2 MB	279.7 MB	4.3 MB	135.4 MB
40	30/b41d47	2190979	annotate (22)	COMPLETED	0	2024-08-26 16:34:40.140	1m 39s	1m 34s	624.5%	733.2 MB	1.6 GB	37 GB	75.7 MB
41	ac/a5674d	2199664	annotate (23)	COMPLETED	0	2024-08-26 16:36:18.785	1m 48s	1m 45s	601.1%	874.7 MB	12.5 GB	41.7 GB	82.6 MB
42	8a/6ce69b	2210148	annotate (24)	COMPLETED	0	2024-08-26 16:38:06.971	1m 44s	1m 40s	627.3%	1021.3 MB	2.1 GB	40.7 GB	65.8 MB
43	40/634da6	2219500	annotate (25)	COMPLETED	0	2024-08-26 16:39:51.341	1m 45s	1m 42s	633.2%	888.8 MB	1.9 GB	40 GB	74 MB
45	bb/e15357	2228982	annotate (27)	COMPLETED	0	2024-08-26 16:41:36.586	1m 44s	1m 40s	646.4%	1 GB	2.1 GB	42.8 GB	74.4 MB
50	ec/bf2cca	2239267	dwgsim (23)	COMPLETED	0	2024-08-26 16:43:21.026	8.1s	2.1s	95.2%	12.7 MB	279.7 MB	4.3 MB	136.3 MB
49	8c/c35ccd	2239613	dwgsim (22)	COMPLETED	0	2024-08-26 16:43:29.153	9.7s	3.5s	60.0%	9.2 MB	279.7 MB	4.1 MB	135.9 MB
47	e7/fa481d	2239988	dwgsim (20)	COMPLETED	0	2024-08-26 16:43:38.879	11.1s	3.3s	62.4%	8.9 MB	279.7 MB	4.3 MB	135.4 MB
39	b9/9c5a2c	2240407	dwgsim (18)	COMPLETED	0	2024-08-26 16:43:50.002	10.2s	2.3s	90.0%	7.9 MB	279.7 MB	4.2 MB	135.8 MB
59	01/b95d75	2240751	dwgsim (29)	COMPLETED	0	2024-08-26 16:44:00.222	11.1s	2.2s	95.0%	8.1 MB	279.7 MB	4.3 MB	135.8 MB
56	4c/a551f2	2241068	dwgsim (26)	COMPLETED	0	2024-08-26 16:44:11.345	7.7s	2.3s	88.6%	9.3 MB	279.7 MB	4.3 MB	136 MB
60	63/535572	2241412	dwgsim (30)	COMPLETED	0	2024-08-26 16:44:19.100	9.6s	2.4s	83.2%	8.8 MB	279.7 MB	4.2 MB	136.2 MB
54	fa/c454e9	2241726	annotate (29)	COMPLETED	0	2024-08-26 16:44:28.711	1m 44s	1m 40s	580.9%	796.7 MB	12.5 GB	38.9 GB	75.5 MB
51	77/92e9c5	2251411	dwgsim (24)	COMPLETED	0	2024-08-26 16:46:13.136	7.8s	2.1s	99.3%	8.2 MB	279.7 MB	4.2 MB	135.9 MB
53	2a/9f5676	2251756	annotate (28)	COMPLETED	0	2024-08-26 16:46:20.918	1m 42s	1m 39s	612.3%	835.8 MB	1.8 GB	41.8 GB	72.1 MB
55	fe/3c6810	2261446	annotate (30)	COMPLETED	0	2024-08-26 16:48:03.063	1m 38s	1m 35s	641.1%	960 MB	2.1 GB	38.8 GB	76.1 MB
46	b6/f59e7d	2270790	dwgsim (19)	COMPLETED	0	2024-08-26 16:49:41.169	7.5s	2.4s	82.2%	11.6 MB	279.7 MB	4.3 MB	136.3 MB
44	66/89544d	2271138	annotate (26)	COMPLETED	0	2024-08-26 16:49:48.657	1m 41s	1m 35s	644.5%	989.4 MB	2.1 GB	42.6 GB	80.3 MB
52	c6/0926fe	2280710	dwgsim (25)	COMPLETED	0	2024-08-26 16:51:29.539	7.9s	2.1s	96.7%	14 MB	279.7 MB	4.3 MB	136 MB
58	f6/093c4f	2281058	dwgsim (28)	COMPLETED	0	2024-08-26 16:51:37.482	8.6s	2.2s	96.9%	10.1 MB	279.7 MB	4.3 MB	135.9 MB
57	9b/d8abf8	2281404	dwgsim (27)	COMPLETED	0	2024-08-26 16:51:46.087	9.1s	2.3s	91.7%	11.4 MB	279.7 MB	4.4 MB	136 MB
61	0d/a93ddb	2281718	panaroo	COMPLETED	0	2024-08-26 16:51:55.154	1h 33m 55s	1h 33m 49s	397.9%	1008.5 MB	5.3 GB	157.8 GB	953.5 MB
62	68/e5499f	2829108	snippy (1)	COMPLETED	0	2024-08-26 18:25:50.449	1m 7s	1m 3s	227.8%	322.4 MB	15.1 GB	2.1 GB	1.3 GB
65	b5/831300	2836130	snippy (4)	COMPLETED	0	2024-08-26 18:26:57.428	54.1s	51.7s	259.5%	204.7 MB	8.3 GB	2.1 GB	1.3 GB
67	5c/3afc43	2843012	snippy (6)	COMPLETED	0	2024-08-26 18:27:51.566	1m 4s	1m 1s	242.6%	284.3 MB	8.3 GB	2.1 GB	1.3 GB
66	57/8f18fd	2850056	snippy (5)	COMPLETED	0	2024-08-26 18:28:55.213	56.3s	53.9s	257.0%	209.5 MB	8.3 GB	2.1 GB	1.3 GB
